,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,baker city,44.7749,-117.8344,6.99,62,100,3.09,US,1651313217
334,kiama,-34.6833,150.8667,17.22,66,1,2.24,AU,1651313218
335,scarborough,54.2797,-0.4044,15.18,62,59,0.89,GB,1651312964
336,arkansas city,37.062,-97.0384,12.79,87,0,3.6,US,1651313218
337,mbanza-ngungu,-5.25,14.8667,20.78,96,100,0.29,CD,1651313219
338,grand-lahou,5.1367,-5.0242,29.8,68,91,3.62,CI,1651313220
339,brigham city,41.5102,-112.0155,6.12,51,0,1.79,US,1651312943
340,bajil,15.0584,43.2851,37.9,35,1,6.82,YE,1651313220
341,bay roberts,47.5999,-53.2648,5.28,96,100,1.71,CA,1651313221
342,gandu,-13.7439,-39.4867,20.62,93,82,1.13,BR,1651313221
343,warrington,53.3925,-2.5802,14.78,55,0,2.57,GB,1651313099
344,graaff-reinet,-32.2522,24.5308,17.18,57,3,2.48,ZA,1651313222
345,longyearbyen,78.2186,15.6401,-11.09,62,20,3.6,SJ,1651313222
346,hamilton,39.1834,-84.5333,12.84,79,100,3.09,US,1651313143
347,aborlan,9.4352,118.5492,29.04,82,96,1.46,PH,1651313223
348,balaipungut,1.05,101.2833,28.79,86,96,1.05,ID,1651313223
349,puerto ayacucho,5.6639,-67.6236,23.05,97,99,1.22,VE,1651312987
350,henties bay,-22.116,14.2845,17.63,71,0,5.84,NA,1651313224
351,robertsport,6.7533,-11.3686,27.36,79,93,1.6,LR,1651313224
352,roblin,51.23,-101.3565,1.46,91,100,3.26,CA,1651313225
353,talara,-4.5772,-81.2719,20.08,81,92,6.08,PE,1651313225
354,skibbereen,51.55,-9.2667,11.73,71,100,2.64,IE,1651313225
355,marsa matruh,31.3525,27.2453,22.44,57,6,5.95,EG,1651313226
356,shitanjing,39.2342,106.3439,11.85,12,0,7.04,CN,1651313226
357,quelimane,-17.8786,36.8883,25.5,74,24,2.65,MZ,1651313227
358,popondetta,-8.7537,148.2534,22.9,99,75,1.39,PG,1651313228
359,diban,35.0365,40.5167,34.4,17,23,5.73,SY,1651313229
360,kaohsiung,22.6163,120.3133,28.97,71,75,4.63,TW,1651313228
361,hannibal,39.7084,-91.3585,16.86,72,100,3.09,US,1651313003
362,hangu,39.2489,117.7892,20.02,17,2,3.65,CN,1651313229
363,salvador,13.8333,-88.9167,22.22,87,100,0.63,SV,1651313230
364,loandjili,-4.7561,11.8578,24.61,85,100,3.95,CG,1651313230
